EntityIdentifier=424017,EntityName=UPG_Auto_Testing1,Frequency=adhoc,,,,,,,,,,,,,,,,,,,,,,
EntityIdentifier=424017,EntityName=UPG_Auto_Testing1,ReportTypeName=ConsumerProfile,Frequency=adhoc,FromDate=2025-09-15,ToDate=2025-09-16,GenerationDate=2025-10-06,GenerationTime=13:05:14,,,,,,,,,,,,,,,,,
53:59.7,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-KERIGDFBJHRVFS6D,9.98E+11,,ACTIVE,MOBILE,60606,USA,dmbufbdl@gmail.com,ACTIVE,AZ,1634509,424018
53:59.7,1289824,424017,990656,,,,,,,,,,JPMCW-KERIGDFBJHRVFS6D,9.98E+11,,,MOBILE,60606,USA,dmbufbdl@gmail.com,ACTIVE,AZ,1634509,424018
20:38.7,1289824,424017,990656,,,,,,,,,,JPMCW-2HAYTSTF8WCHZVMM,9.98E+11,,,MOBILE,,USA,83pr0e3u@gmail.com,ACTIVE,,1634509,424018
20:38.7,1289824,424017,990656,,,,,,,,,,JPMCW-2HAYTSTF8WCHZVMM,9.98E+11,,,MOBILE,60606,USA,83pr0e3u@gmail.com,ACTIVE,AZ,1634509,424018
20:38.7,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-2HAYTSTF8WCHZVMM,9.98E+11,,ACTIVE,MOBILE,,USA,83pr0e3u@gmail.com,ACTIVE,,1634509,424018
20:38.7,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-2HAYTSTF8WCHZVMM,9.98E+11,,ACTIVE,MOBILE,60606,USA,83pr0e3u@gmail.com,ACTIVE,AZ,1634509,424018
20:38.7,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-2HAYTSTF8WCHZVMM,9.98E+11,,ACTIVE,MOBILE,60606,USA,83pr0e3u@gmail.com,ACTIVE,AZ,1634509,424018
20:38.7,1289824,424017,990656,,,,,,,,,,JPMCW-2HAYTSTF8WCHZVMM,9.98E+11,,,MOBILE,,USA,83pr0e3u@gmail.com,ACTIVE,,1634509,424018
20:38.7,1289824,424017,990656,,,,,,,,,,JPMCW-2HAYTSTF8WCHZVMM,9.98E+11,,,MOBILE,60606,USA,83pr0e3u@gmail.com,ACTIVE,AZ,1634509,424018
20:38.7,1289824,424017,990656,,,ACTIVE,,222300,0,MC,CARD,Card,JPMCW-2HAYTSTF8WCHZVMM,9.98E+11,,ACTIVE,MOBILE,,USA,83pr0e3u@gmail.com,ACTIVE,,1634509,424018
EntityIdentifier=424017,EntityName=UPG_Auto_Testing1,Frequency=adhoc,,,,,,,,,,,,,,,,,,,,,,
