Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Fréquence=ponctuel
Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Nom du type de rapport=Détailsdelasoumission,Fréquence=ponctuel,Du [date]=2025-10-23,AU [date]=2025-10-30,Date de génération=2025-11-10,Durée d’une génération=15:13:50
"Date d’activité","Code de type d’entité","Identificateur de l’entité","Numéro de commande de commerçant","Code du mode de paiement","Code de devise de la présentation","Code de devise de règlement","Taux de change","Numéro d’instruction de transfert de fonds","Montant de la transaction dans la devise de présentation","Montant de la transaction en devise de règlement","Montant du dépôt réglé","Frais d’évaluation et d’interchange","Ajustements de la retenue de l’impôt de réserve","Ajustements de la rétrofacturation","Frais d’escompte","Ajustements de retours ECP","Autres ajustements","Frais de traitement","Ajustements des réserves","Autres","Activité financière nette"
"2025-10-27","TD","424018","ezg8NVtaT14Dkn4WHI48nC","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.18180000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.53750000","0.00000000","0.00000000","-0.71930000"
"2025-10-24","TD","424018","EdR3k8bbrt3YAZiA1yJAxb","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-28","TD","424018","7KoRnkcMQCI3RWfbEkTtJI","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-25","TD","424018","7Yd5mOaPB1yQHk8fn738eY","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.02700000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.19450000"
"2025-10-24","TD","424018","HBNil2x4X3JtJhUjWsoF8N","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.18180000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.53750000","0.00000000","0.00000000","-0.71930000"
"2025-10-28","TD","424018","vQAWOyIZbMjS3v0zwgr9CZ","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.18180000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.53750000","0.00000000","0.00000000","-0.71930000"
"2025-10-24","TD","424018","7Db7ls7Pt9s9XKaiUz5pkI","VI","USD","USD","1.000000000","4385280","32.00000000","32.00000000","32.00000000","-0.75070000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","31.06430000"
"2025-10-23","TD","424018","JxLgoNw8iYbBYXYb5FvV1h","VI","USD","USD","1.000000000","4385280","40.00000000","40.00000000","40.00000000","-0.90590000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","38.90910000"
"2025-10-27","TD","424018","wVQRg3TAl6noXfxTKYfL4Q","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.03520000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.20270000"
"2025-10-28","TD","424018","OoSrw0GnwT83k4c4O9WMGN","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-29","TD","424018","3fBnm6Rsop8GWKEQYQp7Gq","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.18180000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.53750000","0.00000000","0.00000000","-0.71930000"
"2025-10-27","TD","424018","Z2sqKeoNLxB2UVvgPoJQyO","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.03520000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.20270000"
"2025-10-23","TD","424018","mAvwBXOBEIanpo18fwg1VB","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-26","TD","424018","6bS1Zsnrcg22C3MAeGFI4l","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.02700000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.19450000"
"2025-10-24","TD","424018","Y2yLqfG1OdGkCGJo8X8bzW","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.03520000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.20270000"
"2025-10-24","TD","424018","QmrN79xqrU2pwbtAJP4zQt","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.02700000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.19450000"
"2025-10-29","TD","424018","7YdQFeMzvcuIRTwmk8ChUF","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.03520000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.20270000"
"2025-10-28","TD","424018","dF6lynT0uR2itw9YOcf0O5","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-23","TD","424018","4EfjjOdm3wzdxi3CBq5xAJ","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.03520000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.20270000"
"2025-10-23","TD","424018","pS0LGv88YRDwPhZVHlPLY7","VI","USD","USD","1.000000000","4385280","10.00000000","10.00000000","10.00000000","-0.41050000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","9.40450000"
"2025-10-24","TD","424018","wmCn4quoYhVWN8NTTHkin2","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.03520000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.20270000"
"2025-10-24","TD","424018","xVWkVMfLM5fNSjwW2v45PI","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.02700000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.19450000"
"2025-10-27","TD","424018","U5poHf387qiMHimloT0oDW","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.06750000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.01750000","0.00000000","0.00000000","-0.08500000"
"2025-10-27","TD","424018","OnWu1Ebnd1TBQZn055pcau","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.06750000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.01750000","0.00000000","0.00000000","-0.08500000"
"2025-10-27","TD","424018","n4PeZzcf6S57lAwGDuJ8tJ","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.03520000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.20270000"
"2025-10-24","TD","424018","6xe43zNo5emc3e8sKgAVF2","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.08100000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.50250000","0.00000000","0.00000000","-0.58350000"
"2025-10-27","TD","424018","aOmGqI00O3zXNwZF1u3xMu","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-23","TD","424018","1B3cv2Er3izV3LhsvcdOA1","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.00750000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.15000000","0.00000000","0.00000000","-0.15750000"
"2025-10-24","TD","424018","yQefpLHWKRftFhzadRd5DD","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-23","TD","424018","2DC8aKtzHGdxrDFXWQDgzf","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-26","TD","424018","QvcTf6RZ38ZoWGNtfbm362","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.10250000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.01750000","0.00000000","0.00000000","-0.12000000"
"2025-10-24","TD","424018","EPGjQ0HUbsaHw77t7NvRyK","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.02700000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.19450000"
"2025-10-24","TD","424018","E4hYFQ9m9ZXvZStW0vIRkO","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.02700000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.19450000"
"2025-10-23","TD","424018","VR2qkbHSgn5y12y7rf7BNm","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.02700000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.19450000"
"2025-10-25","TD","424018","kW01x0LUvIQmd1KaFlegRO","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.02700000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.19450000"
"2025-10-27","TD","424018","eShgKpOvKHsU9BZ6LXOkER","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.10290000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.03500000","0.00000000","0.00000000","-0.13790000"
"2025-10-28","TD","424018","VagvKJnVlrJ6aFi3GwTBhZ","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-23","TD","424018","I4H4vouXo7ORMKk7GwQIpu","VI","USD","USD","1.000000000","4385280","66.00000000","66.00000000","66.00000000","-1.67010000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.55500000","0.00000000","0.00000000","63.77490000"
"2025-10-24","TD","424018","3wMnETts7blKxMoM8wq5eD","VI","USD","USD","1.000000000","4385280","66.00000000","66.00000000","66.00000000","-1.67010000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.55500000","0.00000000","0.00000000","63.77490000"
"2025-10-23","TD","424018","YNWjnQavxRjxX7OAMPhDW5","VI","USD","USD","1.000000000","4385280","-10.00000000","-10.00000000","-10.00000000","0.13050000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-10.03700000"
"2025-10-29","TD","424018","Oo8AM066wXvZcmUiRa8h3y","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.06750000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.01750000","0.00000000","0.00000000","-0.08500000"
"2025-10-23","TD","424018","709YQoW9nQgMygeH1nOYgP","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-24","TD","424018","DfCeWO1LEyymgeeUTI3SMt","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.03520000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.20270000"
"2025-10-27","TD","424018","6bS1Zsnrcg22C3MAeGFI4l","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.52970000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.01750000","0.00000000","0.00000000","21.45280000"
"2025-10-23","TD","424018","6kHJFBnNGdFuqvJ2mPVMX5","VI","USD","USD","1.000000000","4385280","-10.00000000","-10.00000000","-10.00000000","0.13050000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-10.03700000"
"2025-10-27","TD","424018","WGPxjNYceZTWtBC6qHJetu","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.13980000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.07000000","0.00000000","0.00000000","-0.20980000"
"2025-10-23","TD","424018","ubIxybx40tkVsHum9TQ2XX","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-29","TD","424018","eHP9cDU75tHeKTEOOqOB8F","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-23","TD","424018","moGD4jxsIFFiPhygUKAwhC","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-24","TD","424018","QGKRuiabyZPBPBmJTjyRIl","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.18180000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.53750000","0.00000000","0.00000000","-0.71930000"
"2025-10-24","TD","424018","RsNo5mIwFpPpqwkc1DVVLW","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.02700000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.19450000"
"2025-10-24","TD","424018","txHwKu5SNdWi5l5Psdo5cn","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-23","TD","424018","4TllgxnDKPfW9IjVjGQ8tj","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-27","TD","424018","eY0GOTAfuKSTAL33xGld3k","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-23","TD","424018","csnClCvDH5tvVNEYHXzmwu","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.14140000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.35250000","0.00000000","0.00000000","-0.49390000"
"2025-10-23","TD","424018","h4jGNfui5450pmmh9MtOU2","VI","USD","USD","1.000000000","4385280","-20.00000000","-20.00000000","-20.00000000","0.38050000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-19.78700000"
"2025-10-28","TD","424018","KkQgei5VJJg94ofLkvXTEC","VI","USD","USD","1.000000000","4385280","704.00000000","704.00000000","704.00000000","-16.76640000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-3.73500000","0.00000000","0.00000000","683.49860000"
"2025-10-28","TD","424018","IL5YvV624XzK4RCyjr0DOw","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-24","TD","424018","oXjne4cLcH5j3S2L6zeZde","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-27","TD","424018","9h9BDFRGcPtW0YvbVZdSWu","VI","USD","USD","1.000000000","4385280","66.00000000","66.00000000","66.00000000","-1.67010000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.55500000","0.00000000","0.00000000","63.77490000"
"2025-10-23","TD","424018","KSYiST9MI7Sa9HRRAG6tCd","VI","USD","USD","1.000000000","4385280","100.00000000","100.00000000","100.00000000","-2.17280000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.20250000","0.00000000","0.00000000","97.62470000"
"2025-10-27","TD","424018","VHlv0yutFEwlci1BCMLFkB","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-24","TD","424018","fj63dhhxh5xYIw3IsLm1Gz","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.04200000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.46750000","0.00000000","0.00000000","-0.50950000"
"2025-10-23","TD","424018","hBjqjtPuJ76fnZkBOr4od2","VI","USD","USD","1.000000000","4385280","10.00000000","10.00000000","10.00000000","-0.41050000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","9.40450000"
"2025-10-27","TD","424018","IfFXSOT7HCMTzwFFdrx82a","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-29","TD","424018","LTg1fb0JPR1nfF2htU6US7","VI","USD","USD","1.000000000","4385280","20.00000000","20.00000000","20.00000000","-0.52190000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","19.29310000"
"2025-10-24","TD","424018","xOvMzjMZqvEMZoUriuT8PA","VI","USD","USD","1.000000000","4385280","66.00000000","66.00000000","66.00000000","-1.67010000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.55500000","0.00000000","0.00000000","63.77490000"
"2025-10-29","TD","424018","xA54N3djsYHCLq0A9hbWJ2","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.10250000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.01750000","0.00000000","0.00000000","-0.12000000"
"2025-10-29","TD","424018","KkQgei5VJJg94ofLkvXTEC","VI","USD","USD","1.000000000","4385280","352.00000000","352.00000000","352.00000000","-8.35620000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-1.86750000","0.00000000","0.00000000","341.77630000"
"2025-10-23","TD","424018","IwrZh19BLLtbMyTzbICLng","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.18180000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.53750000","0.00000000","0.00000000","-0.71930000"
"2025-10-23","TD","424018","lRVc3QNfhOj3cYVHhXpeAP","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-23","TD","424018","fj63dhhxh5xYIw3IsLm1Gz","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.13980000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.07000000","0.00000000","0.00000000","-0.20980000"
"2025-10-28","TD","424018","HxZhZdsl5pBjO9DU3FDwc5","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.18180000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.53750000","0.00000000","0.00000000","-0.71930000"
"2025-10-23","TD","424018","KkQgei5VJJg94ofLkvXTEC","VI","USD","USD","1.000000000","4385280","1508.00000000","1508.00000000","1508.00000000","-36.02360000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-8.67750000","0.00000000","0.00000000","1463.29890000"
"2025-10-27","TD","424018","TaBvnAGOrq988PVzl1rHd4","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.10250000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.01750000","0.00000000","0.00000000","-0.12000000"
"2025-10-23","TD","424018","jqY6RZmXjUQWZnKkfXL6YO","VI","USD","USD","1.000000000","4385280","66.00000000","66.00000000","66.00000000","-1.67010000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.55500000","0.00000000","0.00000000","63.77490000"
"2025-10-23","TD","424018","T4YHa9joeUrUfE0KyoMFXh","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-27","TD","424018","juQ6CjwXBgqhq76rz4Osdr","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.14140000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.35250000","0.00000000","0.00000000","-0.49390000"
"2025-10-24","TD","424018","BcLTcalEx13PpaSQtFRO13","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.03520000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.20270000"
"2025-10-29","TD","424018","TxvSYNfHzpzaKvm51eqBG4","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.55670000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.18500000","0.00000000","0.00000000","21.25830000"
"2025-10-27","TD","424018","FzJtwZfhOzKNLe8KoACbTq","VI","USD","USD","1.000000000","4385280","22.00000000","22.00000000","22.00000000","-0.52970000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.01750000","0.00000000","0.00000000","21.45280000"
"2025-10-24","TD","424018","3Hmf7cnmDaK7zcsBk5LDB3","VI","USD","USD","1.000000000","4385280","-10.00000000","-10.00000000","-10.00000000","0.13050000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-10.03700000"
"2025-10-24","TD","424018","Uxv8Am0Xf6m4dfmqUFRG82","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.10250000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.01750000","0.00000000","0.00000000","-0.12000000"
"2025-10-23","TD","424018","45NXdZ5MuAlZzaLzb5RDGL","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.03520000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.20270000"
"2025-10-28","TD","424018","ugf5P26SfKnGaDy4nw0Ulq","VI","USD","USD","1.000000000","4385280","0.00000000","0.00000000","0.00000000","-0.03520000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","-0.16750000","0.00000000","0.00000000","-0.20270000"
