BEGIN,ProcessingEntityId=997132511936,Frequency=adhoc
ProcessingEntityId=997132511936,ReportTypeName=ConsumerProfile,Frequency=adhoc,FromDate=2025-04-01,ToDate=2025-04-04,GenerationDate=2025-08-18,GenerationTime=22:28:25
Record Type,Profile ID,Processor Profile ID ,First Name ,Last Name,Email Address,Phone Number,Address Line 1,Address Line 2,Address Postal Code,Address Country Code,Profile Status,Payment Method ID,Payment Method Status,Payment Method Type,Payment Method Name,Payment Method Code,Payment Method (Last 4 Digit Card),Card Expiration Date
CPM-001,order121,JPMCW-KTVE7WZ7HI78OANU,NotProvided,NotProvided,test234@google.com,7859642569,698 ship to,ship 698,33589,USA,ACTIVE,2390d4f0-7fa8-4fb9-849e-e5f22212ccf4,ACTIVE,Card,CARD,MC,5114,1125
CPM-001,CARD-PROFILE-TEST,JPMCW-Y4AYGMLBSNACO3GI,NotProvided,NotProvided,defaultalby-0003@test.com,1000000003,400 Elton Farm,Apt 123,19342,USA,ACTIVE,802209f6-4c95-42f2-93b0-173e65fbb6af,ACTIVE,Card,CARD,MC,1128,0226
CPM-001,JPMCW-N8SBUHJXSTG38EE1,JPMCW-N8SBUHJXSTG38EE1,NotProvided,NotProvided,defaultalby-0001@test.com,1000000002,400 Elton Farm,Apt 123,19342,USA,ACTIVE,0906cfef-9cb4-435e-8637-36b72ae15f98,ACTIVE,Bank Account,SEPA,,1703
CPM-001,SEPA-PROFILE-TEST,JPMCW-TRLPKAJTAI5KEX7Q,NotProvided,NotProvided,defaultalby-0005@test.com,1000000005,400 Elton Farm,Apt 123,19342,USA,ACTIVE,ecc94632-9806-4ca7-992f-67ae1a608909,ACTIVE,Bank Account,SEPA,,1703
CPM-001,JPMCW-IAE0MBM1QP8VW5AM,JPMCW-IAE0MBM1QP8VW5AM,NotProvided,NotProvided,test234@google.com,7859642569,698 ship to,ship 698,33589,USA,ACTIVE,b1ee303c-3732-4d6e-a000-36b4e119b62b,ACTIVE,Card,CARD,MC,5114,1125
CPM-001,JPMCW-TFEJCJXHPA3ZMCXU,JPMCW-TFEJCJXHPA3ZMCXU,NotProvided,NotProvided,profile@test.com,123456789,Profile way,4200 west,33626,,ACTIVE,6ff51096-bfdc-4e91-97a9-41ef8ce19063,ACTIVE,Card,CARD,,6785,0825
CPM-001,JPMCW-IAE0MBM1QP8VW5AM,JPMCW-IAE0MBM1QP8VW5AM,NotProvided,NotProvided,test234@google.com,7859642569,252 Walkabout Road,Suite 252,33333,,ACTIVE,b1ee303c-3732-4d6e-a000-36b4e119b62b,ACTIVE,Card,CARD,MC,5114,1125
CPM-001,JPMCW-CCW5YIEATZRRN2JF,JPMCW-CCW5YIEATZRRN2JF,NotProvided,NotProvided,defaultalby-0002@test.com,1000000002,400 Elton Farm,Apt 123,19342,USA,ACTIVE,ad8dad9e-ab3a-4a5b-a3be-ee4d2907e575,ACTIVE,Bank Account,SEPA,,1703
CPM-001,ACH-PROFILE-TEST,JPMCW-UYX2KSUIOQ7F8DAV,NotProvided,NotProvided,defaultalby-0002@test.com,1000000002,400 Elton Farm,Apt 123,91342,USA,ACTIVE,ea013799-4b08-49fb-a9ba-9dfed1901bfc,ACTIVE,Bank Account,SEPA,,1703
CPM-001,ACH1-PROFILE-TEST,JPMCW-LS8NYXCZZECYTPAP,NotProvided,NotProvided,defaultalby-0004@test.com,1000000004,400 Elton Farm,Apt 123,91342,USA,ACTIVE,d72a499c-19c2-41c3-9eac-3289bd401680,ACTIVE,Bank Account,ACH,,1702
END,ProcessingEntityId=997132511936,Frequency=adhoc
